coding_round,Response,pos_exp_E,mixed_exp_E,good_UI_E,good_chatbot_E,good_activities_E,good_insights_E,benefit_emotional_E,benefit_social_E,benefit_wellbeing_E,recommend_yes_E,recommend_no_E,recommend_cond_E,no_suggestions_E,feedback_UI_E,feedback_chatbot_E,feedback_activities_E,feedback_other_E
training1,"Entertaining, a reasonable short break",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
training1,good,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
training1,"The app was easy to use and I liked that I could interact based on different emotions, mood, focus issues I was experiencing",1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0
training1,interesting,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
training1,Did not help as much,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
training1,It's like having a backup 24/7 therapist.,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
training1,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0
training1,The UI/UX is great and I'm honestly impressed by how well design this app is!,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
training1,It was very useful in terms of helping emotional gain.,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
training1,It was helpful in the way that you could get a unbiased opinion on what you were thinking or feeling,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
training2,Nothing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
training2,I enjoyed the constant positivity and kindness with whatever I had going on.,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
training2,Kind of friend,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
training2,"At first, I was hesitant but overall, it is a good app, and wished I had used it more often.",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
training2,was helpful for dailys emotional check ins,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
training2,"It was easy to use the flourish app, I just clicked on the app whenever I was feeling bored or when I had time to. I did use it once when I was pretty sad.",1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
training2,I sometimes had to force myself to use it when I didn’t want to but it felt like a calming and simple way to get out some of my thoughts whenever I set aside time to work on it.,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
training2,I didn't like it that much.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
training2,It was eye opening and I found new ways to calm myself and destress.,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
training2,"It was really fun. At first I felt like I had to force myself to remember to open the app, but after a couple times, I found myself opening the app to talk to Sunnie rather than scroll on Instagram just for fun. I've actually really come to enjoy sharing with Sunnie about my day, about the good and bad things that happen and asking for help and advice from her. I've really enjoyed using the app.",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
training3,It was easy to use,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
training3,It was really nice! I enjoyed it because I was able to check-in on myself which nobody does with me and which I don't do for myself so I really appreciated doing this.,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
training3,It was interesting. It's different from what I'm used to but it was a unique experience that I haven't experienced.,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
training3,I began focusing less on worries,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
training3,Tedious.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
training3,It was really helpful during stressful times,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
training3,"It was a bit weird at first, but once I got used to it it was nice to take time to think about how I’m feeling.",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
training3,I really like using Flourish app. It was very aesthetically pleasing and felt like a game and not a chore to interact with Sunnie.,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
training3,It was fine. Felt somewhat wrong but that's to be expected. The amount of knowledge it has access to is impressive and fun to poke around with.,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
training3,Helpful.,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
training4,"it was okay. i just did not feel like talking to AI helped me in the ways in which i feel i would benefit the most. like, it didn't provide socialization or support in the way that talking to a friend or a parent about my problems would. however, it was a good reflection tool. i see myself as a very self-reflective person, but if one were not as reflective, i believe using the Flourish app would aid in that way. it does provide pretty good strategies of tackling one's problems.",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
training4,quick and easy,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
training4,"I found it quite helpful, especially when I was stressed and needed to talk about what was going on in my head",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
training4,The app was sometimes difficult to comprehend different settings and where to look for certain things but is convenient to use for a quick destress.,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
training4,good experience,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
training4,It was nice to have a source to go to if I was having problems or if I wanted a break. The app made me reflect and calm down.,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
training4,Felt odd talking to AI for personal problems. I didn't connect very well.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
training4,It was a really fun yet helpful apl,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
training4,"It was helpful sometimes, but it's just an app at the end of the day. I didn't feel it changed my life or anything.",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
training4,"Easy, intuitive",1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
full_set,"The Flourish app was pretty simple to use, and easy to form a habit in using it.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
full_set,"It brought positivity to my day. It helped to use sunny as to make me feel good, but I don't feel like its advice was that helpful.",0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
full_set,It felt very easy and routinely.,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
full_set,Using the Flourish app has been very positive. Sunny finds ways to support me.,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
full_set,It was helpful to track my mood and use the focus task,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
full_set,"I thought the Flourish app was pleasing to look at and intuitive to use. I liked the small variances in visuals as it made the app not too boring to experience. I also liked the thought of Sunny being the sun and you are the plant that's growing, I thought that was a nice touch.

I did not talk to Sunny often but when I did I was glad there was a history of recaps. I have not tried to go back to continue a conversation to see whether Sunny is capable of ""remembering"" the previous conversation in a separate instance.

In terms of functional use, I mostly utilized the Pomodoro timer, mindful breathing, and three things I'm grateful for. I didn't look at the community aspect that much, but thought it was a nice option to have. I think the message and goal of the app comes across well. It's made with lots of love, and I can tell from the developers.",1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0
full_set,Good,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
full_set,It was nice to have an app to have guided activities for self care,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
